_id,name,address,phone,email,__v
66aaff3736e2372fd70e192c,Không bắt buộc,Không bắt buộc,123-456-7890,example@gmail.com,0
66aaff4508eb50a8cfea0712,Máy chiếu,,,,0
66aaff4508eb50a8cfea0713,Máy chiếu,,,,0
66aaff4508eb50a8cfea0714,Máy chiếu,,,,0
66aaff4508eb50a8cfea0715,Màn hình,,,,0
66aaff4508eb50a8cfea0716,Màn hình,,,,0
66aaff4508eb50a8cfea0717,Máy ảnh,,,,0
66aaff4508eb50a8cfea0718,Máy ảnh,,,,0
66aaff4508eb50a8cfea0719,Máy ảnh,,,,0
66aaff4508eb50a8cfea071a,Máy ảnh,,,,0
66aaff4508eb50a8cfea071b,Máy tính,,,,0
66aaff4508eb50a8cfea071c,Máy tính,,,,0
66aaff4508eb50a8cfea071d,Máy tính,,,,0
66aaff4508eb50a8cfea071e,Máy tính,,,,0
66aaff4508eb50a8cfea071f,Máy tính,,,,0
66aaff4508eb50a8cfea0720,Máy tính,,,,0
66aaff4508eb50a8cfea0721,Máy tính,,,,0
66aaff4508eb50a8cfea0722,Máy tính,,,,0
66aaff4508eb50a8cfea0723,Điện thoại,,,,0
66aaff4508eb50a8cfea0724,Điện thoại,,,,0
66aaff4508eb50a8cfea0725,Điện thoại,,,,0
66aaff4508eb50a8cfea0726,Mô hình thí nghiệm PLC,,,,0
66aaff4508eb50a8cfea0727,Mô hình thí nghiệm PLC,,,,0
66aaff4508eb50a8cfea0728,Hệ thống sản xuất linh hoạt,,,,0
66aaff4508eb50a8cfea0729,Hệ thống sản xuất linh hoạt,,,,0
66aaff4508eb50a8cfea072a,Bộ công cụ thí nghiệm giáo dục công nghiệp 4.0,,,,0
66aaff4508eb50a8cfea072b,Bộ công cụ thí nghiệm giáo dục công nghiệp 4.0,,,,0
66aaff3c36e2372fd70e193a,R.I,R.I,,,0
66aaff3c36e2372fd70e193b,R.II,R.II,,,0
66aaff3c36e2372fd70e193c,R.III,R.III,,,0
66aaff3c36e2372fd70e193d,R.IV,R.IV,,,0
66aaff3c36e2372fd70e193e,R.V,R.V,,,0
66aaff3c36e2372fd70e193f,R.VI,R.VI,,,0
66aaff3c36e2372fd70e1940,R.VII,R.VII,,,0
66aaff3c36e2372fd70e1941,R.VIII,R.VIII,,,0
66aaff3c36e2372fd70e1942,R.IX,R.IX,,,0
66aaff3c36e2372fd70e1947,,,,,0
66aaff3c36e2372fd70e1934,,,987-654-3210,admin@gmail.com,0
66aaff3c36e2372fd70e1935,,,987-654-3210,moderator@gmail.com,0
66aaff3c36e2372fd70e1936,,,789-012-3456,namds@gmail.com,0
66aaff3c36e2372fd70e1937,,,789-012-3456,lichnguyen@gmail.com,0
66aaff3c36e2372fd70e1938,,,789-012-3456,ngsang@gmail.com,0
66aaff3c36e2372fd70e1944,Dụng cụ lâu bền,,,,0
66aaff3c36e2372fd70e1945,Tài sản cố định,,,,0
